id,industry_name,growth_rate,industry_skills,top_companies,trends
87,Healthcare,0.06,"I, m, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
88,Healthcare,0.06,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
89,E-commerce,0.09,"T, a, b, l, e, a, u","Amazon, eBay, Shopify, Walmart, Alibaba","D2C Sales, Mobile Commerce, Voice Shopping, Visual Search, Localized Shopping"
90,Healthcare,0.07,"I, m, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
91,Finance,0.11,"N, o, S, Q, L","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
92,Consulting,0.03,"S, t, a, t, i, s, t, i, c, s","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
93,Consulting,0.11,"S, c, a, l, a","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
94,Finance,0.03,"S, Q, L","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
95,Consulting,0.07,R,"Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
96,Finance,0.05,"E, x, c, e, l","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
97,Consulting,0.09,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
98,Finance,0.05,"S, A, S","Goldman Sachs, Morgan Stanley, J.P. Morgan, Bank of America, Citibank","Cryptocurrencies, Digital Banking, AI in Finance, RegTech, Sustainable Finance"
99,Consulting,0.09,"B, i, g,  , D, a, t, a","Deloitte, PwC, EY, KPMG, Accenture","Remote Work Consulting, Cybersecurity Consulting, AI Strategy, Sustainable Business Models, Digital Transformations"
100,Healthcare,0.11,"N, a, t, u, r, a, l,  , L, a, n, g, u, a, g, e,  , P, r, o, c, e, s, s, i, n, g","Pfizer, Johnson & Johnson, Roche, Novartis, Merck","Telemedicine, AI in Diagnostics, Personalized Treatment, Wearable Health Tech, Biotech Innovations"
